State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,January,Number of Deaths,"4,034",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Deaths,"4,084",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Deaths,"4,101",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Deaths,"4,133",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Deaths,"4,196",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Deaths,"4,201",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Deaths,"4,220",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Deaths,"4,222",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Deaths,"4,242",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Deaths,"4,241",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Deaths,"4,219",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Deaths,"4,193",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Deaths,"4,213",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Deaths,"4,198",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Deaths,"4,230",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Deaths,"4,262",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Deaths,"4,241",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Deaths,"4,261",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
