STATEFP,COUNTYFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION,COUNTY
01,001,2010,Population,54750,Alabama,AL,Autauga County
01,001,2011,Population,55199,Alabama,AL,Autauga County
01,001,2012,Population,54927,Alabama,AL,Autauga County
01,001,2013,Population,54695,Alabama,AL,Autauga County
01,001,2014,Population,54864,Alabama,AL,Autauga County
01,001,2015,Population,54838,Alabama,AL,Autauga County
01,001,2016,Population,55278,Alabama,AL,Autauga County
01,001,2017,Population,55504,Alabama,AL,Autauga County
01,003,2010,Population,183110,Alabama,AL,Baldwin County
01,003,2011,Population,186534,Alabama,AL,Baldwin County
01,003,2012,Population,190048,Alabama,AL,Baldwin County
01,003,2013,Population,194736,Alabama,AL,Baldwin County
01,003,2014,Population,199064,Alabama,AL,Baldwin County
01,003,2015,Population,202863,Alabama,AL,Baldwin County
01,003,2016,Population,207509,Alabama,AL,Baldwin County
01,003,2017,Population,212628,Alabama,AL,Baldwin County
01,005,2010,Population,27332,Alabama,AL,Barbour County
01,005,2011,Population,27351,Alabama,AL,Barbour County
01,005,2012,Population,27175,Alabama,AL,Barbour County
01,005,2013,Population,26947,Alabama,AL,Barbour County
01,005,2014,Population,26749,Alabama,AL,Barbour County
01,005,2015,Population,26264,Alabama,AL,Barbour County
01,005,2016,Population,25774,Alabama,AL,Barbour County
01,005,2017,Population,25270,Alabama,AL,Barbour County
01,007,2010,Population,22872,Alabama,AL,Bibb County
01,007,2011,Population,22745,Alabama,AL,Bibb County
01,007,2012,Population,22658,Alabama,AL,Bibb County
01,007,2013,Population,22503,Alabama,AL,Bibb County
01,007,2014,Population,22533,Alabama,AL,Bibb County
01,007,2015,Population,22561,Alabama,AL,Bibb County
01,007,2016,Population,22633,Alabama,AL,Bibb County
01,007,2017,Population,22668,Alabama,AL,Bibb County
01,009,2010,Population,57381,Alabama,AL,Blount County
01,009,2011,Population,57562,Alabama,AL,Blount County
01,009,2012,Population,57595,Alabama,AL,Blount County
01,009,2013,Population,57623,Alabama,AL,Blount County
01,009,2014,Population,57546,Alabama,AL,Blount County
01,009,2015,Population,57590,Alabama,AL,Blount County
01,009,2016,Population,57562,Alabama,AL,Blount County
01,009,2017,Population,58013,Alabama,AL,Blount County
01,011,2010,Population,10880,Alabama,AL,Bullock County
01,011,2011,Population,10675,Alabama,AL,Bullock County
01,011,2012,Population,10612,Alabama,AL,Bullock County
01,011,2013,Population,10549,Alabama,AL,Bullock County
01,011,2014,Population,10673,Alabama,AL,Bullock County
01,011,2015,Population,10419,Alabama,AL,Bullock County
01,011,2016,Population,10441,Alabama,AL,Bullock County
01,011,2017,Population,10309,Alabama,AL,Bullock County
01,013,2010,Population,20944,Alabama,AL,Butler County
01,013,2011,Population,20880,Alabama,AL,Butler County
01,013,2012,Population,20688,Alabama,AL,Butler County
01,013,2013,Population,20372,Alabama,AL,Butler County
01,013,2014,Population,20327,Alabama,AL,Butler County
01,013,2015,Population,20141,Alabama,AL,Butler County
01,013,2016,Population,19965,Alabama,AL,Butler County
01,013,2017,Population,19825,Alabama,AL,Butler County
01,015,2010,Population,118466,Alabama,AL,Calhoun County
01,015,2011,Population,117785,Alabama,AL,Calhoun County
01,015,2012,Population,117219,Alabama,AL,Calhoun County
01,015,2013,Population,116482,Alabama,AL,Calhoun County
