"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2010","Population","4785492.0"
"01","Alabama","AL","2010","Population","4785579"
"01","Alabama","AL","2011","Population","4798649"
"01","Alabama","AL","2012","Population","4813946"
"01","Alabama","AL","2013","Population","4827660"
"01","Alabama","AL","2014","Population","4840037"
"01","Alabama","AL","2015","Population","4850858"
"01","Alabama","AL","2016","Population","4860545"
"01","Alabama","AL","2017","Population","4874747"
"02","Alaska","AK","2010","Population","714031.0"
"02","Alaska","AK","2010","Population","714015"
"02","Alaska","AK","2011","Population","722259"
"02","Alaska","AK","2012","Population","730825"
"02","Alaska","AK","2013","Population","736760"
"02","Alaska","AK","2014","Population","736759"
"02","Alaska","AK","2015","Population","737979"
"02","Alaska","AK","2016","Population","741522"
"02","Alaska","AK","2017","Population","739795"
"04","Arizona","AZ","2010","Population","6408312.0"
"04","Arizona","AZ","2010","Population","6407002"
"04","Arizona","AZ","2011","Population","6465488"
"04","Arizona","AZ","2012","Population","6544211"
"04","Arizona","AZ","2013","Population","6616124"
"04","Arizona","AZ","2014","Population","6706435"
"04","Arizona","AZ","2015","Population","6802262"
"04","Arizona","AZ","2016","Population","6908642"
"04","Arizona","AZ","2017","Population","7016270"
"05","Arkansas","AR","2010","Population","2921995.0"
"05","Arkansas","AR","2010","Population","2921737"
"05","Arkansas","AR","2011","Population","2938640"
"05","Arkansas","AR","2012","Population","2949208"
"05","Arkansas","AR","2013","Population","2956780"
"05","Arkansas","AR","2014","Population","2964800"
"05","Arkansas","AR","2015","Population","2975626"
"05","Arkansas","AR","2016","Population","2988231"
"05","Arkansas","AR","2017","Population","3004279"
"06","California","CA","2010","Population","37332685.0"
"06","California","CA","2010","Population","37327690"
"06","California","CA","2011","Population","37672654"
"06","California","CA","2012","Population","38019006"
"06","California","CA","2013","Population","38347383"
"06","California","CA","2014","Population","38701278"
"06","California","CA","2015","Population","39032444"
"06","California","CA","2016","Population","39296476"
"06","California","CA","2017","Population","39536653"
"08","Colorado","CO","2010","Population","5048644.0"
"08","Colorado","CO","2010","Population","5048029"
"08","Colorado","CO","2011","Population","5116411"
"08","Colorado","CO","2012","Population","5186330"
"08","Colorado","CO","2013","Population","5262556"
"08","Colorado","CO","2014","Population","5342311"
"08","Colorado","CO","2015","Population","5440445"
"08","Colorado","CO","2016","Population","5530105"
"08","Colorado","CO","2017","Population","5607154"
"09","Connecticut","CT","2010","Population","3579899.0"
"09","Connecticut","CT","2010","Population","3580171"
"09","Connecticut","CT","2011","Population","3591927"
"09","Connecticut","CT","2012","Population","3597705"
"09","Connecticut","CT","2013","Population","3602470"
"09","Connecticut","CT","2014","Population","3600188"
"09","Connecticut","CT","2015","Population","3593862"
"09","Connecticut","CT","2016","Population","3587685"
"09","Connecticut","CT","2017","Population","3588184"
"10","Delaware","DE","2010","Population","899816.0"
"10","Delaware","DE","2010","Population","899712"
"10","Delaware","DE","2011","Population","907884"
"10","Delaware","DE","2012","Population","916868"
"10","Delaware","DE","2013","Population","925114"
"10","Delaware","DE","2014","Population","934805"
"10","Delaware","DE","2015","Population","944107"
"10","Delaware","DE","2016","Population","952698"
"10","Delaware","DE","2017","Population","961939"
"11","District of Columbia","DC","2010","Population","605183.0"
"11","District of Columbia","DC","2010","Population","605040"
"11","District of Columbia","DC","2011","Population","620336"
"11","District of Columbia","DC","2012","Population","635630"
"11","District of Columbia","DC","2013","Population","650114"
"11","District of Columbia","DC","2014","Population","660797"
"11","District of Columbia","DC","2015","Population","672736"
"11","District of Columbia","DC","2016","Population","684336"
"11","District of Columbia","DC","2017","Population","693972"
"12","Florida","FL","2010","Population","18849098.0"
"12","Florida","FL","2010","Population","18846461"
"12","Florida","FL","2011","Population","19097369"
"12","Florida","FL","2012","Population","19341327"
"12","Florida","FL","2013","Population","19584927"
"12","Florida","FL","2014","Population","19897747"
"12","Florida","FL","2015","Population","20268567"
"12","Florida","FL","2016","Population","20656589"
"12","Florida","FL","2017","Population","20984400"
"13","Georgia","GA","2010","Population","9713521.0"
"13","Georgia","GA","2010","Population","9712696"
"13","Georgia","GA","2011","Population","9810595"
"13","Georgia","GA","2012","Population","9911171"
"13","Georgia","GA","2013","Population","9981773"
"13","Georgia","GA","2014","Population","10083850"
"13","Georgia","GA","2015","Population","10199533"
"13","Georgia","GA","2016","Population","10313620"
"13","Georgia","GA","2017","Population","10429379"
"15","Hawaii","HI","2010","Population","1363945.0"
"15","Hawaii","HI","2010","Population","1363817"
"15","Hawaii","HI","2011","Population","1378323"
"15","Hawaii","HI","2012","Population","1392772"
"15","Hawaii","HI","2013","Population","1408038"
"15","Hawaii","HI","2014","Population","1417710"
"15","Hawaii","HI","2015","Population","1426320"
"15","Hawaii","HI","2016","Population","1428683"
"15","Hawaii","HI","2017","Population","1427538"
"16","Idaho","ID","2010","Population","1571010.0"
"16","Idaho","ID","2010","Population","1570912"
"16","Idaho","ID","2011","Population","1583180"
"16","Idaho","ID","2012","Population","1594673"
"16","Idaho","ID","2013","Population","1610187"
"16","Idaho","ID","2014","Population","1630391"
"16","Idaho","ID","2015","Population","1649324"
"16","Idaho","ID","2016","Population","1680026"
"16","Idaho","ID","2017","Population","1716943"
"17","Illinois","IL","2010","Population","12841578.0"
"17","Illinois","IL","2010","Population","12841196"
"17","Illinois","IL","2011","Population","12862298"
"17","Illinois","IL","2012","Population","12878494"
"17","Illinois","IL","2013","Population","12890403"
"17","Illinois","IL","2014","Population","12882438"
"17","Illinois","IL","2015","Population","12862051"
"17","Illinois","IL","2016","Population","12835726"
"17","Illinois","IL","2017","Population","12802023"
"18","Indiana","IN","2010","Population","6490528.0"
"18","Indiana","IN","2010","Population","6490029"
"18","Indiana","IN","2011","Population","6515358"
"18","Indiana","IN","2012","Population","6535665"
"18","Indiana","IN","2013","Population","6567484"
"18","Indiana","IN","2014","Population","6593182"
"18","Indiana","IN","2015","Population","6610596"
"18","Indiana","IN","2016","Population","6634007"
"18","Indiana","IN","2017","Population","6666818"
"19","Iowa","IA","2010","Population","3050738.0"
"19","Iowa","IA","2010","Population","3050223"
"19","Iowa","IA","2011","Population","3063690"
"19","Iowa","IA","2012","Population","3074386"
"19","Iowa","IA","2013","Population","3089876"
"19","Iowa","IA","2014","Population","3105563"
"19","Iowa","IA","2015","Population","3118473"
"19","Iowa","IA","2016","Population","3130869"
"19","Iowa","IA","2017","Population","3145711"
"20","Kansas","KS","2010","Population","2858850.0"
"20","Kansas","KS","2010","Population","2858403"
"20","Kansas","KS","2011","Population","2868756"
"20","Kansas","KS","2012","Population","2885316"
"20","Kansas","KS","2013","Population","2892900"
"20","Kansas","KS","2014","Population","2899553"
"20","Kansas","KS","2015","Population","2905789"
"20","Kansas","KS","2016","Population","2907731"
"20","Kansas","KS","2017","Population","2913123"
"21","Kentucky","KY","2010","Population","4348662.0"
"21","Kentucky","KY","2010","Population","4347948"
"21","Kentucky","KY","2011","Population","4368505"
"21","Kentucky","KY","2012","Population","4383673"
"21","Kentucky","KY","2013","Population","4399121"
"21","Kentucky","KY","2014","Population","4410415"
"21","Kentucky","KY","2015","Population","4422057"
"21","Kentucky","KY","2016","Population","4436113"
"21","Kentucky","KY","2017","Population","4454189"
"22","Louisiana","LA","2010","Population","4544996.0"
"22","Louisiana","LA","2010","Population","4544871"
"22","Louisiana","LA","2011","Population","4574388"
"22","Louisiana","LA","2012","Population","4602681"
"22","Louisiana","LA","2013","Population","4626795"
"22","Louisiana","LA","2014","Population","4648797"
"22","Louisiana","LA","2015","Population","4671211"
"22","Louisiana","LA","2016","Population","4686157"
"22","Louisiana","LA","2017","Population","4684333"
"23","Maine","ME","2010","Population","1327730.0"
"23","Maine","ME","2010","Population","1327568"
"23","Maine","ME","2011","Population","1327968"
"23","Maine","ME","2012","Population","1328101"
"23","Maine","ME","2013","Population","1327975"
"23","Maine","ME","2014","Population","1328903"
"23","Maine","ME","2015","Population","1327787"
"23","Maine","ME","2016","Population","1330232"
"23","Maine","ME","2017","Population","1335907"
"24","Maryland","MD","2010","Population","5788584.0"
"24","Maryland","MD","2010","Population","5788099"
"24","Maryland","MD","2011","Population","5843115"
"24","Maryland","MD","2012","Population","5891680"
"24","Maryland","MD","2013","Population","5932654"
"24","Maryland","MD","2014","Population","5970245"
"24","Maryland","MD","2015","Population","6000561"
"24","Maryland","MD","2016","Population","6024752"
"24","Maryland","MD","2017","Population","6052177"
"25","Massachusetts","MA","2010","Population","6565524.0"
"25","Massachusetts","MA","2010","Population","6564943"
"25","Massachusetts","MA","2011","Population","6612178"
"25","Massachusetts","MA","2012","Population","6659627"
"25","Massachusetts","MA","2013","Population","6711138"
"25","Massachusetts","MA","2014","Population","6757925"
"25","Massachusetts","MA","2015","Population","6794002"
"25","Massachusetts","MA","2016","Population","6823721"
"25","Massachusetts","MA","2017","Population","6859819"
"26","Michigan","MI","2010","Population","9877495.0"
"26","Michigan","MI","2010","Population","9876731"
"26","Michigan","MI","2011","Population","9876199"
"26","Michigan","MI","2012","Population","9886610"
"26","Michigan","MI","2013","Population","9899219"
"26","Michigan","MI","2014","Population","9914675"
"26","Michigan","MI","2015","Population","9918170"
"26","Michigan","MI","2016","Population","9933445"
"26","Michigan","MI","2017","Population","9962311"
"27","Minnesota","MN","2010","Population","5311147.0"
"27","Minnesota","MN","2010","Population","5310711"
"27","Minnesota","MN","2011","Population","5345967"
"27","Minnesota","MN","2012","Population","5377695"
"27","Minnesota","MN","2013","Population","5416074"
"27","Minnesota","MN","2014","Population","5452649"
"27","Minnesota","MN","2015","Population","5483238"
"27","Minnesota","MN","2016","Population","5525050"
"27","Minnesota","MN","2017","Population","5576606"
"28","Mississippi","MS","2010","Population","2970322.0"
"28","Mississippi","MS","2010","Population","2970437"
"28","Mississippi","MS","2011","Population","2977452"
"28","Mississippi","MS","2012","Population","2982963"
"28","Mississippi","MS","2013","Population","2987721"
