"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2010","drugdeathrate","11.4"
"01","Alabama","AL","2011","drugdeathrate","11.5"
"01","Alabama","AL","2012","drugdeathrate","11.7"
"01","Alabama","AL","2013","drugdeathrate","12.4"
"01","Alabama","AL","2014","drugdeathrate","14.9"
"01","Alabama","AL","2015","drugdeathrate","15.1"
"01","Alabama","AL","2016","drugdeathrate","15.5"
"01","Alabama","AL","2017","drugdeathrate","17.1"
"02","Alaska","AK","2010","drugdeathrate","11.7"
"02","Alaska","AK","2011","drugdeathrate","14.8"
"02","Alaska","AK","2012","drugdeathrate","17.6"
"02","Alaska","AK","2013","drugdeathrate","14.3"
"02","Alaska","AK","2014","drugdeathrate","16.8"
"02","Alaska","AK","2015","drugdeathrate","16.5"
"02","Alaska","AK","2016","drugdeathrate","17.3"
"02","Alaska","AK","2017","drugdeathrate","19.9"
"04","Arizona","AZ","2010","drugdeathrate","17.2"
"04","Arizona","AZ","2011","drugdeathrate","16.5"
"04","Arizona","AZ","2012","drugdeathrate","17.3"
"04","Arizona","AZ","2013","drugdeathrate","18.4"
"04","Arizona","AZ","2014","drugdeathrate","18.0"
"04","Arizona","AZ","2015","drugdeathrate","18.7"
"04","Arizona","AZ","2016","drugdeathrate","19.9"
"04","Arizona","AZ","2017","drugdeathrate","21.8"
"05","Arkansas","AR","2010","drugdeathrate","12.0"
"05","Arkansas","AR","2011","drugdeathrate","12.1"
"05","Arkansas","AR","2012","drugdeathrate","12.6"
"05","Arkansas","AR","2013","drugdeathrate","10.8"
"05","Arkansas","AR","2014","drugdeathrate","12.0"
"05","Arkansas","AR","2015","drugdeathrate","13.2"
"05","Arkansas","AR","2016","drugdeathrate","13.4"
"05","Arkansas","AR","2017","drugdeathrate","14.8"
"06","California","CA","2010","drugdeathrate","10.9"
"06","California","CA","2011","drugdeathrate","11.1"
"06","California","CA","2012","drugdeathrate","10.6"
"06","California","CA","2013","drugdeathrate","11.6"
"06","California","CA","2014","drugdeathrate","11.7"
"06","California","CA","2015","drugdeathrate","11.9"
"06","California","CA","2016","drugdeathrate","11.9"
"06","California","CA","2017","drugdeathrate","12.3"
"08","Colorado","CO","2010","drugdeathrate","13.0"
"08","Colorado","CO","2011","drugdeathrate","16.5"
"08","Colorado","CO","2012","drugdeathrate","15.6"
"08","Colorado","CO","2013","drugdeathrate","16.1"
"08","Colorado","CO","2014","drugdeathrate","16.8"
"08","Colorado","CO","2015","drugdeathrate","15.9"
"08","Colorado","CO","2016","drugdeathrate","17.0"
"08","Colorado","CO","2017","drugdeathrate","18.1"
"09","Connecticut","CT","2010","drugdeathrate","10.2"
"09","Connecticut","CT","2011","drugdeathrate","11.2"
"09","Connecticut","CT","2012","drugdeathrate","12.2"
"09","Connecticut","CT","2013","drugdeathrate","16.2"
"09","Connecticut","CT","2014","drugdeathrate","17.3"
"09","Connecticut","CT","2015","drugdeathrate","22.3"
"09","Connecticut","CT","2016","drugdeathrate","27.1"
"09","Connecticut","CT","2017","drugdeathrate","29.9"
"10","Delaware","DE","2010","drugdeathrate","16.1"
"10","Delaware","DE","2011","drugdeathrate","17.6"
"10","Delaware","DE","2012","drugdeathrate","15.4"
"10","Delaware","DE","2013","drugdeathrate","17.9"
"10","Delaware","DE","2014","drugdeathrate","20.2"
"10","Delaware","DE","2015","drugdeathrate","20.9"
"10","Delaware","DE","2016","drugdeathrate","29.6"
"10","Delaware","DE","2017","drugdeathrate","35.1"
"11","District of Columbia","DC","2010","drugdeathrate","13.0"
"11","District of Columbia","DC","2011","drugdeathrate","13.9"
"11","District of Columbia","DC","2012","drugdeathrate","12.2"
