"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2014","nonmedpain","5.24"
"02","Alaska","AK","2014","nonmedpain","4.72"
"04","Arizona","AZ","2014","nonmedpain","5.18"
"05","Arkansas","AR","2014","nonmedpain","5.21"
"06","California","CA","2014","nonmedpain","4.76"
"08","Colorado","CO","2014","nonmedpain","5.03"
"09","Connecticut","CT","2014","nonmedpain","3.55"
"10","Delaware","DE","2014","nonmedpain","4.7"
"11","District of Columbia","DC","2014","nonmedpain","4.13"
"12","Florida","FL","2014","nonmedpain","3.47"
"13","Georgia","GA","2014","nonmedpain","4.47"
"15","Hawaii","HI","2014","nonmedpain","4.64"
"16","Idaho","ID","2014","nonmedpain","4.29"
"17","Illinois","IL","2014","nonmedpain","3.59"
"18","Indiana","IN","2014","nonmedpain","4.98"
"19","Iowa","IA","2014","nonmedpain","3.76"
"20","Kansas","KS","2014","nonmedpain","4.03"
"21","Kentucky","KY","2014","nonmedpain","4.31"
"22","Louisiana","LA","2014","nonmedpain","4.79"
"23","Maine","ME","2014","nonmedpain","3.59"
"24","Maryland","MD","2014","nonmedpain","4.07"
"25","Massachusetts","MA","2014","nonmedpain","3.49"
"26","Michigan","MI","2014","nonmedpain","4.36"
"27","Minnesota","MN","2014","nonmedpain","3.41"
"28","Mississippi","MS","2014","nonmedpain","4.76"
"29","Missouri","MO","2014","nonmedpain","4.21"
"30","Montana","MT","2014","nonmedpain","3.46"
"31","Nebraska","NE","2014","nonmedpain","3.61"
"32","Nevada","NV","2014","nonmedpain","5.2"
"33","New Hampshire","NH","2014","nonmedpain","4.32"
"34","New Jersey","NJ","2014","nonmedpain","3.92"
"35","New Mexico","NM","2014","nonmedpain","4.84"
"36","New York","NY","2014","nonmedpain","3.87"
"37","North Carolina","NC","2014","nonmedpain","4.57"
"38","North Dakota","ND","2014","nonmedpain","3.69"
"39","Ohio","OH","2014","nonmedpain","4.98"
"40","Oklahoma","OK","2014","nonmedpain","5.31"
"41","Oregon","OR","2014","nonmedpain","5.1"
"42","Pennsylvania","PA","2014","nonmedpain","3.87"
"44","Rhode Island","RI","2014","nonmedpain","4.57"
"45","South Carolina","SC","2014","nonmedpain","4.35"
"46","South Dakota","SD","2014","nonmedpain","3.5"
"47","Tennessee","TN","2014","nonmedpain","4.18"
"48","Texas","TX","2014","nonmedpain","4.19"
"49","Utah","UT","2014","nonmedpain","4.06"
"50","Vermont","VT","2014","nonmedpain","3.49"
"51","Virginia","VA","2014","nonmedpain","4.61"
"53","Washington","WA","2014","nonmedpain","4.68"
"54","West Virginia","WV","2014","nonmedpain","3.89"
"55","Wisconsin","WI","2014","nonmedpain","4.38"
"56","Wyoming","WY","2014","nonmedpain","3.58"
"72","Puerto Rico","PR","2014","nonmedpain",""
"00","United States","US","2014","nonmedpain","4.31"
