"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2006","opioid_RxRate","115.6"
"01","Alabama","AL","2007","opioid_RxRate","120.3"
"01","Alabama","AL","2008","opioid_RxRate","126.1"
"01","Alabama","AL","2009","opioid_RxRate","131.6"
"01","Alabama","AL","2010","opioid_RxRate","134.3"
"01","Alabama","AL","2011","opioid_RxRate","136.6"
"01","Alabama","AL","2012","opioid_RxRate","143.8"
"01","Alabama","AL","2013","opioid_RxRate","142.4"
"01","Alabama","AL","2014","opioid_RxRate","135.2"
"01","Alabama","AL","2015","opioid_RxRate","125.0"
"01","Alabama","AL","2016","opioid_RxRate","121.0"
"01","Alabama","AL","2017","opioid_RxRate","107.2"
"02","Alaska","AK","2006","opioid_RxRate","63.4"
"02","Alaska","AK","2007","opioid_RxRate","66.6"
"02","Alaska","AK","2008","opioid_RxRate","68.5"
"02","Alaska","AK","2009","opioid_RxRate","67.3"
"02","Alaska","AK","2010","opioid_RxRate","68.4"
"02","Alaska","AK","2011","opioid_RxRate","68.0"
"02","Alaska","AK","2012","opioid_RxRate","66.8"
"02","Alaska","AK","2013","opioid_RxRate","63.7"
"02","Alaska","AK","2014","opioid_RxRate","62.7"
"02","Alaska","AK","2015","opioid_RxRate","60.8"
"02","Alaska","AK","2016","opioid_RxRate","58.9"
"02","Alaska","AK","2017","opioid_RxRate","52.0"
"04","Arizona","AZ","2006","opioid_RxRate","74.3"
"04","Arizona","AZ","2007","opioid_RxRate","77.8"
"04","Arizona","AZ","2008","opioid_RxRate","80.9"
"04","Arizona","AZ","2009","opioid_RxRate","84.2"
"04","Arizona","AZ","2010","opioid_RxRate","88.5"
"04","Arizona","AZ","2011","opioid_RxRate","88.6"
"04","Arizona","AZ","2012","opioid_RxRate","85.3"
"04","Arizona","AZ","2013","opioid_RxRate","80.4"
"04","Arizona","AZ","2014","opioid_RxRate","79.7"
"04","Arizona","AZ","2015","opioid_RxRate","75.5"
"04","Arizona","AZ","2016","opioid_RxRate","70.2"
"04","Arizona","AZ","2017","opioid_RxRate","61.2"
"05","Arkansas","AR","2006","opioid_RxRate","98.3"
"05","Arkansas","AR","2007","opioid_RxRate","108.2"
"05","Arkansas","AR","2008","opioid_RxRate","112.1"
"05","Arkansas","AR","2009","opioid_RxRate","116.0"
"05","Arkansas","AR","2010","opioid_RxRate","120.8"
"05","Arkansas","AR","2011","opioid_RxRate","115.2"
"05","Arkansas","AR","2012","opioid_RxRate","121.8"
"05","Arkansas","AR","2013","opioid_RxRate","120.9"
"05","Arkansas","AR","2014","opioid_RxRate","123.2"
"05","Arkansas","AR","2015","opioid_RxRate","117.2"
"05","Arkansas","AR","2016","opioid_RxRate","114.6"
"05","Arkansas","AR","2017","opioid_RxRate","105.4"
"06","California","CA","2006","opioid_RxRate","51.0"
"06","California","CA","2007","opioid_RxRate","53.6"
"06","California","CA","2008","opioid_RxRate","55.1"
"06","California","CA","2009","opioid_RxRate","55.6"
"06","California","CA","2010","opioid_RxRate","55.8"
"06","California","CA","2011","opioid_RxRate","55.9"
"06","California","CA","2012","opioid_RxRate","56.4"
"06","California","CA","2013","opioid_RxRate","54.4"
"06","California","CA","2014","opioid_RxRate","52.7"
"06","California","CA","2015","opioid_RxRate","47.7"
"06","California","CA","2016","opioid_RxRate","44.8"
"06","California","CA","2017","opioid_RxRate","39.5"
"08","Colorado","CO","2006","opioid_RxRate","62.2"
"08","Colorado","CO","2007","opioid_RxRate","65.9"
"08","Colorado","CO","2008","opioid_RxRate","67.7"
"08","Colorado","CO","2009","opioid_RxRate","69.8"
"08","Colorado","CO","2010","opioid_RxRate","72.0"
"08","Colorado","CO","2011","opioid_RxRate","73.0"
"08","Colorado","CO","2012","opioid_RxRate","73.5"
"08","Colorado","CO","2013","opioid_RxRate","71.2"
"08","Colorado","CO","2014","opioid_RxRate","69.6"
"08","Colorado","CO","2015","opioid_RxRate","65.1"
"08","Colorado","CO","2016","opioid_RxRate","59.8"
"08","Colorado","CO","2017","opioid_RxRate","52.9"
"09","Connecticut","CT","2006","opioid_RxRate","64.7"
"09","Connecticut","CT","2007","opioid_RxRate","67.5"
"09","Connecticut","CT","2008","opioid_RxRate","68.7"
"09","Connecticut","CT","2009","opioid_RxRate","68.1"
"09","Connecticut","CT","2010","opioid_RxRate","68.6"
"09","Connecticut","CT","2011","opioid_RxRate","69.1"
"09","Connecticut","CT","2012","opioid_RxRate","69.3"
"09","Connecticut","CT","2013","opioid_RxRate","67.4"
"09","Connecticut","CT","2014","opioid_RxRate","66.0"
"09","Connecticut","CT","2015","opioid_RxRate","62.3"
"09","Connecticut","CT","2016","opioid_RxRate","55.9"
"09","Connecticut","CT","2017","opioid_RxRate","48.0"
"10","Delaware","DE","2006","opioid_RxRate","86.6"
"10","Delaware","DE","2007","opioid_RxRate","92.3"
"10","Delaware","DE","2008","opioid_RxRate","95.4"
"10","Delaware","DE","2009","opioid_RxRate","97.5"
"10","Delaware","DE","2010","opioid_RxRate","101.1"
"10","Delaware","DE","2011","opioid_RxRate","99.7"
"10","Delaware","DE","2012","opioid_RxRate","94.0"
"10","Delaware","DE","2013","opioid_RxRate","92.7"
"10","Delaware","DE","2014","opioid_RxRate","91.0"
"10","Delaware","DE","2015","opioid_RxRate","84.4"
"10","Delaware","DE","2016","opioid_RxRate","79.2"
"10","Delaware","DE","2017","opioid_RxRate","68.3"
"11","District of Columbia","DC","2006","opioid_RxRate","31.7"
"11","District of Columbia","DC","2007","opioid_RxRate","41.2"
"11","District of Columbia","DC","2008","opioid_RxRate","34.5"
"11","District of Columbia","DC","2009","opioid_RxRate","34.4"
"11","District of Columbia","DC","2010","opioid_RxRate","37.1"
"11","District of Columbia","DC","2011","opioid_RxRate","39.8"
"11","District of Columbia","DC","2012","opioid_RxRate","40.3"
"11","District of Columbia","DC","2013","opioid_RxRate","41.1"
"11","District of Columbia","DC","2014","opioid_RxRate","40.1"
"11","District of Columbia","DC","2015","opioid_RxRate","35.7"
"11","District of Columbia","DC","2016","opioid_RxRate","32.5"
"11","District of Columbia","DC","2017","opioid_RxRate","28.5"
"12","Florida","FL","2006","opioid_RxRate","79.7"
"12","Florida","FL","2007","opioid_RxRate","82.2"
"12","Florida","FL","2008","opioid_RxRate","84.3"
"12","Florida","FL","2009","opioid_RxRate","86.3"
"12","Florida","FL","2010","opioid_RxRate","87.6"
"12","Florida","FL","2011","opioid_RxRate","83.5"
"12","Florida","FL","2012","opioid_RxRate","75.9"
"12","Florida","FL","2013","opioid_RxRate","73.5"
"12","Florida","FL","2014","opioid_RxRate","71.4"
"12","Florida","FL","2015","opioid_RxRate","67.1"
"12","Florida","FL","2016","opioid_RxRate","66.6"
"12","Florida","FL","2017","opioid_RxRate","60.9"
"13","Georgia","GA","2006","opioid_RxRate","79.8"
"13","Georgia","GA","2007","opioid_RxRate","82.5"
"13","Georgia","GA","2008","opioid_RxRate","86.3"
"13","Georgia","GA","2009","opioid_RxRate","88.2"
"13","Georgia","GA","2010","opioid_RxRate","90.2"
"13","Georgia","GA","2011","opioid_RxRate","88.6"
"13","Georgia","GA","2012","opioid_RxRate","89.4"
"13","Georgia","GA","2013","opioid_RxRate","86.6"
"13","Georgia","GA","2014","opioid_RxRate","83.8"
"13","Georgia","GA","2015","opioid_RxRate","79.4"
"13","Georgia","GA","2016","opioid_RxRate","77.8"
"13","Georgia","GA","2017","opioid_RxRate","70.9"
"15","Hawaii","HI","2006","opioid_RxRate","42.3"
"15","Hawaii","HI","2007","opioid_RxRate","44.5"
"15","Hawaii","HI","2008","opioid_RxRate","46.6"
"15","Hawaii","HI","2009","opioid_RxRate","47.8"
"15","Hawaii","HI","2010","opioid_RxRate","50.1"
"15","Hawaii","HI","2011","opioid_RxRate","50.1"
"15","Hawaii","HI","2012","opioid_RxRate","50.4"
"15","Hawaii","HI","2013","opioid_RxRate","49.4"
"15","Hawaii","HI","2014","opioid_RxRate","47.7"
"15","Hawaii","HI","2015","opioid_RxRate","44.3"
"15","Hawaii","HI","2016","opioid_RxRate","41.9"
"15","Hawaii","HI","2017","opioid_RxRate","37.0"
"16","Idaho","ID","2006","opioid_RxRate","75.6"
"16","Idaho","ID","2007","opioid_RxRate","78.8"
"16","Idaho","ID","2008","opioid_RxRate","82.7"
"16","Idaho","ID","2009","opioid_RxRate","85.2"
"16","Idaho","ID","2010","opioid_RxRate","88.6"
"16","Idaho","ID","2011","opioid_RxRate","91.4"
"16","Idaho","ID","2012","opioid_RxRate","92.0"
"16","Idaho","ID","2013","opioid_RxRate","89.2"
"16","Idaho","ID","2014","opioid_RxRate","87.4"
"16","Idaho","ID","2015","opioid_RxRate","81.9"
"16","Idaho","ID","2016","opioid_RxRate","77.6"
"16","Idaho","ID","2017","opioid_RxRate","70.3"
"17","Illinois","IL","2006","opioid_RxRate","55.6"
"17","Illinois","IL","2007","opioid_RxRate","59.2"
"17","Illinois","IL","2008","opioid_RxRate","60.2"
"17","Illinois","IL","2009","opioid_RxRate","61.0"
"17","Illinois","IL","2010","opioid_RxRate","63.1"
"17","Illinois","IL","2011","opioid_RxRate","64.3"
"17","Illinois","IL","2012","opioid_RxRate","66.1"
"17","Illinois","IL","2013","opioid_RxRate","63.7"
"17","Illinois","IL","2014","opioid_RxRate","62.3"
"17","Illinois","IL","2015","opioid_RxRate","59.1"
"17","Illinois","IL","2016","opioid_RxRate","56.8"
"17","Illinois","IL","2017","opioid_RxRate","51.1"
"18","Indiana","IN","2006","opioid_RxRate","94.3"
"18","Indiana","IN","2007","opioid_RxRate","99.7"
"18","Indiana","IN","2008","opioid_RxRate","103.3"
"18","Indiana","IN","2009","opioid_RxRate","105.6"
"18","Indiana","IN","2010","opioid_RxRate","107.1"
"18","Indiana","IN","2011","opioid_RxRate","106.7"
"18","Indiana","IN","2012","opioid_RxRate","110.5"
"18","Indiana","IN","2013","opioid_RxRate","106.3"
"18","Indiana","IN","2014","opioid_RxRate","96.7"
"18","Indiana","IN","2015","opioid_RxRate","89.1"
"18","Indiana","IN","2016","opioid_RxRate","83.9"
"18","Indiana","IN","2017","opioid_RxRate","74.2"
"19","Iowa","IA","2006","opioid_RxRate","59.3"
"19","Iowa","IA","2007","opioid_RxRate","57.1"
"19","Iowa","IA","2008","opioid_RxRate","59.1"
"19","Iowa","IA","2009","opioid_RxRate","60.4"
"19","Iowa","IA","2010","opioid_RxRate","62.3"
"19","Iowa","IA","2011","opioid_RxRate","64.0"
"19","Iowa","IA","2012","opioid_RxRate","74.1"
"19","Iowa","IA","2013","opioid_RxRate","72.2"
"19","Iowa","IA","2014","opioid_RxRate","72.3"
"19","Iowa","IA","2015","opioid_RxRate","68.6"
"19","Iowa","IA","2016","opioid_RxRate","64.0"
"19","Iowa","IA","2017","opioid_RxRate","56.4"
"20","Kansas","KS","2006","opioid_RxRate","77.5"
"20","Kansas","KS","2007","opioid_RxRate","80.6"
"20","Kansas","KS","2008","opioid_RxRate","82.7"
"20","Kansas","KS","2009","opioid_RxRate","82.8"
"20","Kansas","KS","2010","opioid_RxRate","86.1"
"20","Kansas","KS","2011","opioid_RxRate","87.8"
"20","Kansas","KS","2012","opioid_RxRate","90.3"
"20","Kansas","KS","2013","opioid_RxRate","88.7"
"20","Kansas","KS","2014","opioid_RxRate","86.5"
"20","Kansas","KS","2015","opioid_RxRate","80.5"
"20","Kansas","KS","2016","opioid_RxRate","76.9"
"20","Kansas","KS","2017","opioid_RxRate","69.8"
"21","Kentucky","KY","2006","opioid_RxRate","122.6"
"21","Kentucky","KY","2007","opioid_RxRate","130.8"
"21","Kentucky","KY","2008","opioid_RxRate","136.6"
"21","Kentucky","KY","2009","opioid_RxRate","135.2"
"21","Kentucky","KY","2010","opioid_RxRate","136.5"
"21","Kentucky","KY","2011","opioid_RxRate","137.0"
"21","Kentucky","KY","2012","opioid_RxRate","127.9"
"21","Kentucky","KY","2013","opioid_RxRate","111.7"
"21","Kentucky","KY","2014","opioid_RxRate","110.0"
"21","Kentucky","KY","2015","opioid_RxRate","102.6"
"21","Kentucky","KY","2016","opioid_RxRate","97.2"
"21","Kentucky","KY","2017","opioid_RxRate","86.8"
"22","Louisiana","LA","2006","opioid_RxRate","109.2"
"22","Louisiana","LA","2007","opioid_RxRate","110.1"
"22","Louisiana","LA","2008","opioid_RxRate","113.7"
"22","Louisiana","LA","2009","opioid_RxRate","113.0"
"22","Louisiana","LA","2010","opioid_RxRate","112.6"
"22","Louisiana","LA","2011","opioid_RxRate","111.7"
"22","Louisiana","LA","2012","opioid_RxRate","113.0"
"22","Louisiana","LA","2013","opioid_RxRate","112.4"
"22","Louisiana","LA","2014","opioid_RxRate","108.9"
"22","Louisiana","LA","2015","opioid_RxRate","100.4"
"22","Louisiana","LA","2016","opioid_RxRate","98.1"
"22","Louisiana","LA","2017","opioid_RxRate","89.5"
"23","Maine","ME","2006","opioid_RxRate","83.6"
"23","Maine","ME","2007","opioid_RxRate","85.4"
"23","Maine","ME","2008","opioid_RxRate","88.7"
"23","Maine","ME","2009","opioid_RxRate","87.9"
"23","Maine","ME","2010","opioid_RxRate","92.8"
