"","statefp","countyfp","year","drugdeathsper100k","state","stateabbreviation","county","drugdeaths","population","rxrateper100","percentprabusers12andolder"
"1",1,99,2010,NA,"alabama","AL","Monroe County",NA,23010,122.5,NA
"2",1,131,2010,NA,"alabama","AL","Wilcox County",NA,11562,51.2,NA
"3",1,89,2010,10.5,"alabama","AL","Madison County",35,336102,132.8,NA
"4",1,101,2010,NA,"alabama","AL","Montgomery County",18,229515,105.5,NA
"5",1,73,2010,9.1,"alabama","AL","Jefferson County",60,658048,138,NA
"6",1,133,2010,NA,"alabama","AL","Winston County",NA,24408,139.3,NA
"7",1,7,2010,NA,"alabama","AL","Bibb County",NA,22872,58.9,NA
"8",1,39,2010,NA,"alabama","AL","Covington County",NA,37811,185.9,NA
"9",1,11,2010,NA,"alabama","AL","Bullock County",NA,10880,53.8,NA
"10",1,15,2010,17.7,"alabama","AL","Calhoun County",21,118466,182.5,NA
"11",1,95,2010,NA,"alabama","AL","Marshall County",NA,93129,217.8,NA
"12",1,35,2010,NA,"alabama","AL","Conecuh County",NA,13229,187.8,NA
"13",1,25,2010,NA,"alabama","AL","Clarke County",NA,25765,166.6,NA
"14",1,33,2010,NA,"alabama","AL","Colbert County",NA,54525,209.6,NA
"15",1,23,2010,NA,"alabama","AL","Choctaw County",NA,13849,110.3,NA
"16",1,69,2010,NA,"alabama","AL","Houston County",13,101790,192.6,NA
"17",1,59,2010,NA,"alabama","AL","Franklin County",NA,31749,197.5,NA
"18",1,103,2010,NA,"alabama","AL","Morgan County",18,119606,158.6,NA
"19",1,13,2010,NA,"alabama","AL","Butler County",NA,20944,117.5,NA
"20",1,117,2010,13.3,"alabama","AL","Shelby County",26,196017,124.2,NA
"21",1,55,2010,NA,"alabama","AL","Etowah County",12,104457,163.1,NA
"22",1,111,2010,NA,"alabama","AL","Randolph County",NA,22935,95.4,NA
"23",1,67,2010,NA,"alabama","AL","Henry County",NA,17297,40.3,NA
"24",1,79,2010,NA,"alabama","AL","Lawrence County",NA,34343,64.3,NA
"25",1,21,2010,NA,"alabama","AL","Chilton County",11,43661,114.7,NA
"26",1,105,2010,NA,"alabama","AL","Perry County",NA,10567,NA,NA
"27",1,41,2010,NA,"alabama","AL","Crenshaw County",NA,13875,116.9,NA
"28",1,85,2010,NA,"alabama","AL","Lowndes County",NA,11282,16.7,NA
"29",1,115,2010,NA,"alabama","AL","St. Clair County",15,83814,109.5,NA
"30",1,97,2010,10.9,"alabama","AL","Mobile County",45,413320,149.6,NA
"31",1,9,2010,NA,"alabama","AL","Blount County",10,57381,60.1,NA
"32",1,29,2010,NA,"alabama","AL","Cleburne County",NA,15004,19.8,NA
"33",1,49,2010,NA,"alabama","AL","DeKalb County",NA,71169,81.2,NA
"34",1,47,2010,NA,"alabama","AL","Dallas County",NA,43863,126,NA
"35",1,123,2010,NA,"alabama","AL","Tallapoosa County",NA,41477,95.3,NA
"36",1,19,2010,NA,"alabama","AL","Cherokee County",NA,25973,165.6,NA
